text,label
ముంబైలో ఈ రాత్రి బయటకు వెళ్లడానికి వాతావరణం బాగుంటుందా?,te
ਮੁੰਬਈ ਵਿੱਚ ਅੱਜ ਰਾਤ ਧੁੱਪ ਰਹਿਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,pa
দিল্লি-তে আজ ঝড়ের সম্ভাবনা আছে কি?,bn
चेन्नई में कल बारिश होगी क्या?,hi
চেন্নাই-তে আগামীকাল আবহাওয়া কেমন থাকবে?,bn
ఈ వారం బెంగళూరులో ఎంత చల్లగా ఉంటుంది?,te
ચેન્નાઈમાં આવતીકાલે તડકો રહેવાની શક્યતા છે?,gu
சென்னைக்கான நாளை வானிலை முன்னறிவிப்பை சொல்லுங்கள்.,ta
इस सप्ताह बेंगलुरु में छाता लेकर जाना चाहिए क्या?,hi
ਮੁੰਬਈ ਵਿੱਚ ਅੱਜ ਰਾਤ ਹਵਾ ਕਿੰਨੀ ਤੇਜ਼ ਚੱਲੇਗੀ?,pa
ଦିଲ୍ଲୀରେ ଆଜି ତାପମାତ୍ରା କେତେ ରହିବ?,or
বেঙ্গালুরু-তে এই সপ্তাহে আবহাওয়া কেমন থাকবে?,bn
চেন্নাই-তে আগামীকাল কি জোরে বাতাস বইবে?,bn
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਯਾਤਰਾ ਲਈ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,pa
આવતીકાલે ચેન્નાઈમાં છત્રી લઈ જવી જોઈએ?,gu
What is the humidity in Bengaluru this week?,en
ಇಂದು ರಾತ್ರಿ ಮುಂಬೈನಲ್ಲಿ ಎಷ್ಟು ಚಳಿಯಾಗಿರುತ್ತದೆ?,kn
ଆଜି ଦିଲ୍ଲୀର ପାଗ କେମିତି ରହିବ?,or
ଚେନ୍ନାଇରେ ଆସନ୍ତାକାଲି ଯାତ୍ରା ପାଇଁ ପାଗ କେମିତି ରହିବ?,or
क्या दिल्ली में आज मौसम साफ रहेगा?,hi
दिल्ली में आज तूफान आने की संभावना है क्या?,hi
चेन्नई मध्ये उद्या पावसाची अपेक्षा आहे का?,mr
दिल्ली मध्ये आज तापमान कसे राहील?,mr
કોલકાતામાં આ સપ્તાહના અંતે મુસાફરી માટે હવામાન કેવું રહેશે?,gu
চেন্নাই-তে আগামীকাল বৃষ্টির সম্ভাবনা আছে কি?,bn
કોલકાતામાં આ સપ્તાહના અંતે પવન કેટલો ઝડપી હશે?,gu
चेन्नई साठी उद्या हवामानाचा अंदाज द्या.,mr
ಕೋಲ್ಕತ್ತಾನಲ್ಲಿ ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,kn
ચેન્નાઈમાં આવતીકાલે પવનની ઝડપ કેટલી રહેશે?,gu
ಮುಂಬೈನಲ್ಲಿ ಇಂದು ರಾತ್ರಿ ಮೋಡಗಳು ಇರುತ್ತವೆಯೇ?,kn
चेन्नई में कल आर्द्रता कितनी होगी?,hi
ਕੀ ਮੁੰਬਈ ਵਿੱਚ ਅੱਜ ਰਾਤ ਹਨੇਰੀ-ਤੂਫ਼ਾਨ ਆਵੇਗਾ?,pa
उद्या चेन्नई मध्ये किती उकाडा असेल?,mr
ଦିଲ୍ଲୀରେ ଆଜି ପାଗ କେମିତି ରହିବ?,or
दिल्ली में आज हवा कितनी तेज चलेगी?,hi
ಚೆನ್ನೈನಲ್ಲಿ ನಾಳೆ ಹೊರಗೆ ಹೋಗಲು ಛತ್ರಿ ಬೇಕೇ?,kn
कल चेन्नई में छाता लेकर जाना चाहिए क्या?,hi
কলকাতা-তে এই সপ্তাহান্তে বজ্রঝড় হবে কি?,bn
દિલ્હીમાં આજે હવામાં ભેજ કેટલો રહેશે?,gu
चेन्नई मध्ये उद्या आर्द्रता जास्त राहील का?,mr
மும்பைல் இன்று இரவு வெளியே செல்வதற்கு வானிலை நன்றாக இருக்குமா?,ta
মুম্বাই-তে আজ রাতে বাতাসের গতি কত থাকবে?,bn
ముంబై కోసం ఈ రాత్రి వాతావరణ అంచనాను చెప్పండి.,te
દિલ્હીમાં આજે બહાર જવા માટે છત્રી જોઈએ?,gu
ਕੀ ਦਿੱਲੀ ਵਿੱਚ ਅੱਜ ਮੀਂਹ ਵਾਲਾ ਮੌਸਮ ਰਹੇਗਾ?,pa
મુંબઈમાં આજે રાત્રે આકાશ વાદળછાયું રહેશે?,gu
આવતીકાલે ચેન્નાઈનું હવામાન કેવું રહેશે?,gu
কলকাতা-তে এই সপ্তাহান্তে বাইরে যাওয়ার জন্য আবহাওয়া ভালো কি?,bn
কলকাতা-তে এই সপ্তাহান্তে বাইরে গেলে কি ছাতা লাগবে?,bn
બેંગલુરુમાં આ અઠવાડિયે હવામાન કેવું રહેશે?,gu
ମୁମ୍ବାଇରେ ଆଜି ରାତିରେ ପବନର ବେଗ କେତେ ରହିବ?,or
బెంగళూరులో ఈ వారం ఉరుములతో కూడిన వర్షం పడుతుందా?,te
बेंगलुरु में इस सप्ताह तूफान आने की संभावना है क्या?,hi
What is the temperature in Chennai tomorrow?,en
చెన్నైలో రేపు తేమ ఎక్కువగా ఉంటుందా?,te
આજે રાત્રે મુંબઈમાં છત્રી લઈ જવી જોઈએ?,gu
டெல்லில் இன்று மழை பெய்ய வாய்ப்பு உள்ளதா?,ta
ముంబైలో ఈ రాత్రి తుఫాను వచ్చే అవకాశం ఉందా?,te
பெங்களூருல் இந்த வாரம் காற்று எவ்வளவு வேகமாக வீசும்?,ta
इस सप्ताह बेंगलुरु में कितनी ठंड होगी?,hi
કોલકાતામાં આ સપ્તાહના અંતે ભેજ કેટલો રહેશે?,gu
Is it going to rain in Mumbai tonight?,en
Will there be rain in Chennai tomorrow?,en
কলকাতা-তে এই সপ্তাহান্তে ঝড়ের সম্ভাবনা আছে কি?,bn
Will it be humid in Mumbai tonight?,en
