text,label,language
ਕੱਲ੍ਹ ਦਿੱਲੀ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,weather_forecast,pa
દિલ્હીમાં હવામાન કેવું છે?,weather_current,gu
ਅੱਜ ਦਿੱਲੀ ਦੀ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,air_quality,pa
Is there a chance of rain in Mumbai today?,rain,en
ఈ రోజు చెన్నైలో తేమ ఎంత?,humidity,te
कल दिल्ली में मौसम कैसा रहेगा?,weather_forecast,hi
दिल्लीतील आर्द्रता किती आहे?,humidity,mr
ಈ ವಾರದ ಕೊನೆಯಲ್ಲಿ ಚೆನ್ನೈನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,weather_forecast,kn
இன்று சென்னையில் ஈரப்பதம் எவ்வளவு?,humidity,ta
ಇಂದು ದೆಹಲಿಯ ಗಾಳಿಯ ಗುಣಮಟ್ಟ ಹೇಗಿದೆ?,air_quality,kn
How is the weather in Mumbai today?,weather_current,en
ਦਿੱਲੀ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਹੈ?,humidity,pa
ಇಂದು ದೆಹಲಿಯಲ್ಲಿ ತಾಪಮಾನ ಎಷ್ಟು?,temperature,kn
ਅੱਜ ਮੁੰਬਈ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,weather_current,pa
മുംബൈയിലെ വായുവിന്റെ ഗുണനിലവാരം എങ്ങനെയാണ്?,air_quality,ml
ನಾಳೆ ದೆಹಲಿಯಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,weather_forecast,kn
ഈ വാരാന്ത്യത്തിൽ ചെന്നൈയിലെ കാലാവസ്ഥ എങ്ങനെയായിരിക്കും?,weather_forecast,ml
এই সপ্তাহের শেষে চেন্নাইয়ের আবহাওয়া কেমন থাকবে?,weather_forecast,bn
आज दिल्ली में तापमान कितना है?,temperature,hi
ఈ రోజు ముంబైలో వర్షం పడే అవకాశం ఉందా?,rain,te
आज चेन्नई में हवा में नमी कितनी है?,humidity,hi
આજે દિલ્હીમાં તાપમાન કેટલું છે?,temperature,gu
ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਚੇਨਈ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,weather_forecast,pa
আগামীকাল দিল্লিতে কি বৃষ্টি হবে?,rain,bn
કાલે દિલ્હીમાં વરસાદ પડશે?,rain,gu
இன்று டெல்லியில் காற்று எவ்வளவு வேகமாக உள்ளது?,wind,ta
মুম্বাইয়ে বাতাসের গতি কত?,wind,bn
আগামীকাল দিল্লির আবহাওয়া কেমন থাকবে?,weather_forecast,bn
ഇന്ന് ഡൽഹിയിൽ കാറ്റിന്റെ വേഗം എത്രയാണ്?,wind,ml
நாளை டெல்லியில் மழை பெய்யுமா?,rain,ta
আজ দিল্লির তাপমাত্রা কত?,temperature,bn
നാളെ ഡൽഹിയിൽ മഴ പെയ്യുമോ?,rain,ml
आज दिल्लीतील तापमान किती आहे?,temperature,mr
ದೆಹಲಿಯಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,weather_current,kn
ఢిల్లీలో వాతావరణం ఎలా ఉంది?,weather_current,te
இன்று மும்பையில் மழைக்கு வாய்ப்பு உள்ளதா?,rain,ta
ഇന്ന് മുംബൈയിൽ മഴയ്ക്ക് സാധ്യതയുണ്ടോ?,rain,ml
നാളെ ഡൽഹിയിലെ കാലാവസ്ഥ എങ്ങനെയായിരിക്കും?,weather_forecast,ml
What will the weather be like in Delhi tomorrow?,weather_forecast,en
ਅੱਜ ਦਿੱਲੀ ਵਿੱਚ ਹਵਾ ਕਿੰਨੀ ਤੇਜ਼ ਹੈ?,wind,pa
മുംബൈയിലെ കാറ്റിന്റെ വേഗം എത്രയാണ്?,wind,ml
ఈ రోజు ఢిల్లీలో గాలి ఎంత వేగంగా ఉంది?,wind,te
दिल्ली में मौसम कैसा है?,weather_current,hi
മുംബൈയിൽ ഇപ്പോൾ എത്ര ചൂടാണ്?,temperature,ml
ఈ రోజు ఢిల్లీలో ఉష్ణోగ్రత ఎంత?,temperature,te
ಇಂದು ಚೆನ್ನೈನಲ್ಲಿ ತೇವಾಂಶ ಎಷ್ಟು?,humidity,kn
ముంబైలో ఇప్పుడు ఎంత వేడిగా ఉంది?,temperature,te
उद्या दिल्लीमध्ये पाऊस पडेल का?,rain,mr
उद्या दिल्लीतील हवामान कसे असेल?,weather_forecast,mr
ഇന്ന് ഡൽഹിയിലെ താപനില എത്രയാണ്?,temperature,ml
આ અઠવાડિયાના અંતે ચેન્નાઈમાં હવામાન કેવું રહેશે?,weather_forecast,gu
ముంబైలో గాలి వేగం ఎంత?,wind,te
দিল্লিতে আর্দ্রতা কত?,humidity,bn
मुंबईतील वाऱ्याचा वेग किती आहे?,wind,mr
আজ দিল্লির বায়ুর মান কেমন?,air_quality,bn
আজ দিল্লিতে বাতাস কত জোরে বইছে?,wind,bn
What is the temperature in Delhi today?,temperature,en
মুম্বাইয়ের বায়ুর মান কেমন?,air_quality,bn
ಇಂದು ಮುಂಬೈನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,weather_current,kn
ఈ వారాంతంలో చెన్నైలో వాతావరణం ఎలా ఉంటుంది?,weather_forecast,te
આજે મુંબઈમાં વરસાદની શક્યતા છે?,rain,gu
इस सप्ताह के अंत में चेन्नई का मौसम कैसा रहेगा?,weather_forecast,hi
டெல்லியில் வானிலை எப்படி உள்ளது?,weather_current,ta
ਅੱਜ ਚੇਨਈ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਹੈ?,humidity,pa
આજે દિલ્હીમાં પવન કેટલો ઝડપી છે?,wind,gu
மும்பையில் இப்போது எவ்வளவு வெப்பமாக உள்ளது?,temperature,ta
ಇಂದು ಮುಂಬೈನಲ್ಲಿ ಮಳೆಯ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,rain,kn
आज दिल्लीतील हवेची गुणवत्ता कशी आहे?,air_quality,mr
ನಾಳೆ ದೆಹಲಿಯಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,rain,kn
ਮੁੰਬਈ ਵਿੱਚ ਹੁਣ ਕਿੰਨੀ ਗਰਮੀ ਹੈ?,temperature,pa
કાલે દિલ્હીમાં હવામાન કેવું રહેશે?,weather_forecast,gu
મુંબઈમાં પવનની ઝડપ કેટલી છે?,wind,gu
ഇന്ന് മുംബൈയിലെ കാലാവസ്ഥ എങ്ങനെയാണ്?,weather_current,ml
આજે મુંબઈમાં હવામાન કેવું છે?,weather_current,gu
ഇന്ന് ചെന്നൈയിലെ ഈർപ്പം എത്രയാണ്?,humidity,ml
ਦਿੱਲੀ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,weather_current,pa
દિલ્હીમાં ભેજ કેટલો છે?,humidity,gu
ਅੱਜ ਦਿੱਲੀ ਵਿੱਚ ਤਾਪਮਾਨ ਕਿੰਨਾ ਹੈ?,temperature,pa
आज दिल्ली में हवा कितनी तेज है?,wind,hi
या आठवड्याच्या शेवटी चेन्नईतील हवामान कसे असेल?,weather_forecast,mr
இன்று டெல்லியில் வெப்பநிலை என்ன?,temperature,ta
आज मुंबईत पावसाची शक्यता आहे का?,rain,mr
आज दिल्लीमध्ये वारा किती वेगाने वाहत आहे?,wind,mr
আজ মুম্বাইয়ে বৃষ্টির সম্ভাবনা আছে কি?,rain,bn
ਮੁੰਬਈ ਵਿੱਚ ਹਵਾ ਦੀ ਰਫ਼ਤਾਰ ਕਿੰਨੀ ਹੈ?,wind,pa
How strong is the wind in Delhi today?,wind,en
આજે દિલ્હીની હવાની ગુણવત્તા કેવી છે?,air_quality,gu
आज मुंबई में मौसम कैसा है?,weather_current,hi
ఈ రోజు ఢిల్లీలో గాలి నాణ్యత ఎలా ఉంది?,air_quality,te
రేపు ఢిల్లీలో వాతావరణం ఎలా ఉంటుంది?,weather_forecast,te
How hot is it in Mumbai right now?,temperature,en
মুম্বাইয়ে এখন কত গরম?,temperature,bn
ഇന്ന് ഡൽഹിയിലെ വായുവിന്റെ ഗുണനിലവാരം എങ്ങനെയാണ്?,air_quality,ml
நாளை டெல்லியின் வானிலை எப்படி இருக்கும்?,weather_forecast,ta
இந்த வார இறுதியில் சென்னையின் வானிலை எப்படி இருக்கும்?,weather_forecast,ta
What is the air quality in Delhi today?,air_quality,en
டெல்லியில் ஈரப்பதம் எவ்வளவு?,humidity,ta
What is the wind speed in Mumbai?,wind,en
How is the air quality in Mumbai?,air_quality,en
ದೆಹಲಿಯಲ್ಲಿ ತೇವಾಂಶ ಎಷ್ಟು?,humidity,kn
ಮುಂಬೈನಲ್ಲಿ ಗಾಳಿಯ ವೇಗ ಎಷ್ಟು?,wind,kn
मुंबई में वायु गुणवत्ता कैसी है?,air_quality,hi
मुंबई में अभी कितनी गर्मी है?,temperature,hi
ഡൽഹിയിലെ കാലാവസ്ഥ എങ്ങനെയാണ്?,weather_current,ml
இன்று மும்பையின் வானிலை எப்படி உள்ளது?,weather_current,ta
இன்று டெல்லியின் காற்றின் தரம் எப்படி உள்ளது?,air_quality,ta
ഡൽഹിയിലെ ഈർപ്പം എത്രയാണ്?,humidity,ml
दिल्ली में नमी कितनी है?,humidity,hi
ಮುಂಬೈನ ಗಾಳಿಯ ಗುಣಮಟ್ಟ ಹೇಗಿದೆ?,air_quality,kn
મુંબઈની હવાની ગુણવત્તા કેવી છે?,air_quality,gu
What is the weather in Delhi?,weather_current,en
ಮುಂಬೈನಲ್ಲಿ ಈಗ ಎಷ್ಟು ಬಿಸಿಯಾಗಿದೆ?,temperature,kn
