text,language,intent,entities
ਕੱਲ੍ਹ ਦਿੱਲੀ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,pa,weather_forecast,"[[""ਕੱਲ੍ਹ"", ""DATE""], [""ਦਿੱਲੀ"", ""LOCATION""]]"
દિલ્હીમાં હવામાન કેવું છે?,gu,weather_current,"[[""દિલ્હીમાં"", ""LOCATION""]]"
ਅੱਜ ਦਿੱਲੀ ਦੀ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,pa,air_quality,"[[""ਅੱਜ"", ""DATE""], [""ਦਿੱਲੀ"", ""LOCATION""], [""ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ"", ""WEATHER_ATTRIBUTE""]]"
Is there a chance of rain in Mumbai today?,en,rain,"[[""Mumbai"", ""LOCATION""], [""today"", ""DATE""], [""rain"", ""WEATHER_ATTRIBUTE""]]"
ఈ రోజు చెన్నైలో తేమ ఎంత?,te,humidity,"[[""ఈ రోజు"", ""DATE""], [""చెన్నైలో"", ""LOCATION""], [""తేమ"", ""WEATHER_ATTRIBUTE""]]"
कल दिल्ली में मौसम कैसा रहेगा?,hi,weather_forecast,"[[""कल"", ""DATE""], [""दिल्ली"", ""LOCATION""]]"
दिल्लीतील आर्द्रता किती आहे?,mr,humidity,"[[""दिल्लीतील"", ""LOCATION""], [""आर्द्रता"", ""WEATHER_ATTRIBUTE""]]"
ಈ ವಾರದ ಕೊನೆಯಲ್ಲಿ ಚೆನ್ನೈನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,kn,weather_forecast,"[[""ಈ ವಾರದ ಕೊನೆಯಲ್ಲಿ"", ""DATE""], [""ಚೆನ್ನೈನಲ್ಲಿ"", ""LOCATION""]]"
இன்று சென்னையில் ஈரப்பதம் எவ்வளவு?,ta,humidity,"[[""இன்று"", ""DATE""], [""சென்னை"", ""LOCATION""], [""ஈரப்பதம்"", ""WEATHER_ATTRIBUTE""]]"
ಇಂದು ದೆಹಲಿಯ ಗಾಳಿಯ ಗುಣಮಟ್ಟ ಹೇಗಿದೆ?,kn,air_quality,"[[""ಇಂದು"", ""DATE""], [""ದೆಹಲಿಯ"", ""LOCATION""], [""ಗಾಳಿಯ ಗುಣಮಟ್ಟ"", ""WEATHER_ATTRIBUTE""]]"
How is the weather in Mumbai today?,en,weather_current,"[[""Mumbai"", ""LOCATION""], [""today"", ""DATE""]]"
ਦਿੱਲੀ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਹੈ?,pa,humidity,"[[""ਦਿੱਲੀ"", ""LOCATION""], [""ਨਮੀ"", ""WEATHER_ATTRIBUTE""]]"
ಇಂದು ದೆಹಲಿಯಲ್ಲಿ ತಾಪಮಾನ ಎಷ್ಟು?,kn,temperature,"[[""ಇಂದು"", ""DATE""], [""ದೆಹಲಿಯಲ್ಲಿ"", ""LOCATION""]]"
ਅੱਜ ਮੁੰਬਈ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,pa,weather_current,"[[""ਅੱਜ"", ""DATE""], [""ਮੁੰਬਈ"", ""LOCATION""]]"
മുംബൈയിലെ വായുവിന്റെ ഗുണനിലവാരം എങ്ങനെയാണ്?,ml,air_quality,"[[""മുംബൈയിലെ"", ""LOCATION""], [""വായുവിന്റെ ഗുണനിലവാരം"", ""WEATHER_ATTRIBUTE""]]"
ನಾಳೆ ದೆಹಲಿಯಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,kn,weather_forecast,"[[""ನಾಳೆ"", ""DATE""], [""ದೆಹಲಿಯಲ್ಲಿ"", ""LOCATION""]]"
ഈ വാരാന്ത്യത്തിൽ ചെന്നൈയിലെ കാലാവസ്ഥ എങ്ങനെയായിരിക്കും?,ml,weather_forecast,"[[""ഈ വാരാന്ത്യത്തിൽ"", ""DATE""], [""ചെന്നൈയിലെ"", ""LOCATION""]]"
এই সপ্তাহের শেষে চেন্নাইয়ের আবহাওয়া কেমন থাকবে?,bn,weather_forecast,"[[""এই সপ্তাহের শেষে"", ""DATE""], [""চেন্নাই"", ""LOCATION""]]"
आज दिल्ली में तापमान कितना है?,hi,temperature,"[[""आज"", ""DATE""], [""दिल्ली"", ""LOCATION""]]"
ఈ రోజు ముంబైలో వర్షం పడే అవకాశం ఉందా?,te,rain,"[[""ఈ రోజు"", ""DATE""], [""ముంబైలో"", ""LOCATION""], [""వర్షం"", ""WEATHER_ATTRIBUTE""]]"
आज चेन्नई में हवा में नमी कितनी है?,hi,humidity,"[[""आज"", ""DATE""], [""चेन्नई"", ""LOCATION""], [""नमी"", ""WEATHER_ATTRIBUTE""]]"
આજે દિલ્હીમાં તાપમાન કેટલું છે?,gu,temperature,"[[""આજે"", ""DATE""], [""દિલ્હીમાં"", ""LOCATION""]]"
ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਚੇਨਈ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,pa,weather_forecast,"[[""ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ"", ""DATE""], [""ਚੇਨਈ"", ""LOCATION""]]"
আগামীকাল দিল্লিতে কি বৃষ্টি হবে?,bn,rain,"[[""আগামীকাল"", ""DATE""], [""দিল্লি"", ""LOCATION""], [""বৃষ্টি"", ""WEATHER_ATTRIBUTE""]]"
કાલે દિલ્હીમાં વરસાદ પડશે?,gu,rain,"[[""કાલે"", ""DATE""], [""દિલ્હીમાં"", ""LOCATION""], [""વરસાદ"", ""WEATHER_ATTRIBUTE""]]"
இன்று டெல்லியில் காற்று எவ்வளவு வேகமாக உள்ளது?,ta,wind,"[[""இன்று"", ""DATE""], [""டெல்லி"", ""LOCATION""], [""காற்று"", ""WEATHER_ATTRIBUTE""]]"
মুম্বাইয়ে বাতাসের গতি কত?,bn,wind,"[[""মুম্বাই"", ""LOCATION""], [""বাতাস"", ""WEATHER_ATTRIBUTE""]]"
আগামীকাল দিল্লির আবহাওয়া কেমন থাকবে?,bn,weather_forecast,"[[""আগামীকাল"", ""DATE""], [""দিল্লি"", ""LOCATION""]]"
ഇന്ന് ഡൽഹിയിൽ കാറ്റിന്റെ വേഗം എത്രയാണ്?,ml,wind,"[[""ഇന്ന്"", ""DATE""], [""ഡൽഹിയിൽ"", ""LOCATION""], [""കാറ്റ്"", ""WEATHER_ATTRIBUTE""]]"
நாளை டெல்லியில் மழை பெய்யுமா?,ta,rain,"[[""நாளை"", ""DATE""], [""டெல்லி"", ""LOCATION""], [""மழை"", ""WEATHER_ATTRIBUTE""]]"
আজ দিল্লির তাপমাত্রা কত?,bn,temperature,"[[""আজ"", ""DATE""], [""দিল্লি"", ""LOCATION""]]"
നാളെ ഡൽഹിയിൽ മഴ പെയ്യുമോ?,ml,rain,"[[""നാളെ"", ""DATE""], [""ഡൽഹിയിൽ"", ""LOCATION""], [""മഴ"", ""WEATHER_ATTRIBUTE""]]"
आज दिल्लीतील तापमान किती आहे?,mr,temperature,"[[""आज"", ""DATE""], [""दिल्लीतील"", ""LOCATION""]]"
ದೆಹಲಿಯಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,kn,weather_current,"[[""ದೆಹಲಿಯಲ್ಲಿ"", ""LOCATION""]]"
ఢిల్లీలో వాతావరణం ఎలా ఉంది?,te,weather_current,"[[""ఢిల్లీ"", ""LOCATION""]]"
இன்று மும்பையில் மழைக்கு வாய்ப்பு உள்ளதா?,ta,rain,"[[""இன்று"", ""DATE""], [""மும்பை"", ""LOCATION""], [""மழை"", ""WEATHER_ATTRIBUTE""]]"
ഇന്ന് മുംബൈയിൽ മഴയ്ക്ക് സാധ്യതയുണ്ടോ?,ml,rain,"[[""ഇന്ന്"", ""DATE""], [""മുംബൈയിൽ"", ""LOCATION""], [""മഴ"", ""WEATHER_ATTRIBUTE""]]"
നാളെ ഡൽഹിയിലെ കാലാവസ്ഥ എങ്ങനെയായിരിക്കും?,ml,weather_forecast,"[[""നാളെ"", ""DATE""], [""ഡൽഹിയിലെ"", ""LOCATION""]]"
What will the weather be like in Delhi tomorrow?,en,weather_forecast,"[[""Delhi"", ""LOCATION""], [""tomorrow"", ""DATE""]]"
ਅੱਜ ਦਿੱਲੀ ਵਿੱਚ ਹਵਾ ਕਿੰਨੀ ਤੇਜ਼ ਹੈ?,pa,wind,"[[""ਅੱਜ"", ""DATE""], [""ਦਿੱਲੀ"", ""LOCATION""], [""ਹਵਾ"", ""WEATHER_ATTRIBUTE""]]"
മുംബൈയിലെ കാറ്റിന്റെ വേഗം എത്രയാണ്?,ml,wind,"[[""മുംബൈയിലെ"", ""LOCATION""], [""കാറ്റ്"", ""WEATHER_ATTRIBUTE""]]"
ఈ రోజు ఢిల్లీలో గాలి ఎంత వేగంగా ఉంది?,te,wind,"[[""ఈ రోజు"", ""DATE""], [""ఢిల్లీలో"", ""LOCATION""], [""గాలి"", ""WEATHER_ATTRIBUTE""]]"
दिल्ली में मौसम कैसा है?,hi,weather_current,"[[""दिल्ली"", ""LOCATION""]]"
മുംബൈയിൽ ഇപ്പോൾ എത്ര ചൂടാണ്?,ml,temperature,"[[""മുംബൈയിൽ"", ""LOCATION""], [""ഇപ്പോൾ"", ""DATE""]]"
ఈ రోజు ఢిల్లీలో ఉష్ణోగ్రత ఎంత?,te,temperature,"[[""ఈ రోజు"", ""DATE""], [""ఢిల్లీలో"", ""LOCATION""]]"
ಇಂದು ಚೆನ್ನೈನಲ್ಲಿ ತೇವಾಂಶ ಎಷ್ಟು?,kn,humidity,"[[""ಇಂದು"", ""DATE""], [""ಚೆನ್ನೈನಲ್ಲಿ"", ""LOCATION""], [""ತೇವಾಂಶ"", ""WEATHER_ATTRIBUTE""]]"
ముంబైలో ఇప్పుడు ఎంత వేడిగా ఉంది?,te,temperature,"[[""ముంబైలో"", ""LOCATION""], [""ఇప్పుడు"", ""DATE""]]"
उद्या दिल्लीमध्ये पाऊस पडेल का?,mr,rain,"[[""उद्या"", ""DATE""], [""दिल्लीमध्ये"", ""LOCATION""], [""पाऊस"", ""WEATHER_ATTRIBUTE""]]"
उद्या दिल्लीतील हवामान कसे असेल?,mr,weather_forecast,"[[""उद्या"", ""DATE""], [""दिल्लीतील"", ""LOCATION""]]"
ഇന്ന് ഡൽഹിയിലെ താപനില എത്രയാണ്?,ml,temperature,"[[""ഇന്ന്"", ""DATE""], [""ഡൽഹിയിലെ"", ""LOCATION""]]"
