text,label,language
Are there any severe weather warnings in Bengaluru?,weather_alert,en
আগামীকাল দিল্লি এর আবহাওয়া কেমন থাকবে?,weather_forecast,bn
ভুবনেশ্বর এ কোনো আবহাওয়া সতর্কতা জারি হয়েছে?,weather_alert,bn
ଆସନ୍ତାକାଲି ଚେନ୍ନାଇରେ ବର୍ଷା ହେବ କି?,rain,or
కోల్‌కతాలో ఎంత వేడిగా ఉంది?,temperature,te
ಚೆನ್ನೈನಲ್ಲಿ ತಾಪಮಾನ ಎಷ್ಟು?,temperature,kn
দিল্লি এ কোনো আবহাওয়া সতর্কতা জারি হয়েছে?,weather_alert,bn
ముంబైలో గాలి ఎంత వేగంగా వీస్తోంది?,wind,te
बेंगलुरु में हवा कितनी तेज है?,wind,hi
আগামীকাল কি বেঙ্গালুরু এ বৃষ্টি হবে?,rain,bn
ಪುಣೆನಲ್ಲಿ ಸೂರ್ಯೋದಯ ಯಾವಾಗ?,sunrise_sunset,kn
दिल्ली मध्ये सूर्योदय किती वाजता होतो?,sunrise_sunset,mr
రేపు పుణెలో ఉష్ణోగ్రత ఎంత ఉంటుంది?,temperature,te
ਕੋਲਕਾਤਾ ਵਿੱਚ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,air_quality,pa
What is the AQI in Hyderabad?,air_quality,en
కోల్‌కతాలో ప్రస్తుత వాతావరణం ఎలా ఉంది?,weather_current,te
चेन्नई में बारिश की संभावना है?,rain,hi
நாளை மும்பைவில் வானிலை எப்படி இருக்கும்?,weather_forecast,ta
દિલ્હીમાં તાપમાન કેટલું છે?,temperature,gu
આજે દિલ્હીમાં ભેજ કેટલો રહેશે?,humidity,gu
ଆସନ୍ତାକାଲି ଚେନ୍ନାଇରେ ପାଗ କେମିତି ରହିବ?,weather_forecast,or
How is the weather today in Pune?,weather_current,en
ଭୁବନେଶ୍ୱରର ପାଗ ପୂର୍ବାନୁମାନ କଣ?,weather_forecast,or
ਦਿੱਲੀ ਵਿੱਚ ਅੱਜ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,weather_current,pa
ଏହି ସପ୍ତାହ ଶେଷରେ ମୁମ୍ବାଇର ପାଗ କେମିତି ରହିବ?,weather_forecast,or
புவனேஸ்வர்வில் ஏதேனும் வானிலை எச்சரிக்கை உள்ளதா?,weather_alert,ta
આ સપ્તાહના અંતે મુંબઈમાં હવામાન કેવું રહેશે?,weather_forecast,gu
ਅੱਜ ਮੁੰਬਈ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਰਹੇਗੀ?,humidity,pa
मुंबई मध्ये वारा किती जोरात आहे?,wind,mr
రేపు హైదరాబాద్లో వాతావరణం ఎలా ఉంటుంది?,weather_forecast,te
ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਮੁੰਬਈ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,weather_forecast,pa
"ಬೆಂಗಳೂರು ಅಥವಾ ದೆಹಲಿ, ಯಾವುದು ಹೆಚ್ಚು ತಂಪಾಗಿದೆ?",weather_comparison,kn
ଦିଲ୍ଲୀର AQI କେତେ?,air_quality,or
ଭୁବନେଶ୍ୱରରେ କେତେ ଗରମ ଅଛି?,temperature,or
ਮੁੰਬਈ ਅਤੇ ਪੁਣੇ ਵਿੱਚੋਂ ਕਿਹੜਾ ਠੰਡਾ ਹੈ?,weather_comparison,pa
चेन्नई और हैदराबाद के मौसम की तुलना करो।,weather_comparison,hi
इस सप्ताह के अंत में पुणे में मौसम कैसा रहेगा?,weather_forecast,hi
আগামীকাল পুনে এর আবহাওয়া কেমন থাকবে?,weather_forecast,bn
हैदराबाद में हवा की गुणवत्ता कैसी है?,air_quality,hi
