text,label
ਕੱਲ੍ਹ ਦਿੱਲੀ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,pa
દિલ્હીમાં હવામાન કેવું છે?,gu
ਅੱਜ ਦਿੱਲੀ ਦੀ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,pa
Is there a chance of rain in Mumbai today?,en
ఈ రోజు చెన్నైలో తేమ ఎంత?,te
कल दिल्ली में मौसम कैसा रहेगा?,hi
दिल्लीतील आर्द्रता किती आहे?,mr
ಈ ವಾರದ ಕೊನೆಯಲ್ಲಿ ಚೆನ್ನೈನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,kn
இன்று சென்னையில் ஈரப்பதம் எவ்வளவு?,ta
ಇಂದು ದೆಹಲಿಯ ಗಾಳಿಯ ಗುಣಮಟ್ಟ ಹೇಗಿದೆ?,kn
How is the weather in Mumbai today?,en
ਦਿੱਲੀ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਹੈ?,pa
ಇಂದು ದೆಹಲಿಯಲ್ಲಿ ತಾಪಮಾನ ಎಷ್ಟು?,kn
ਅੱਜ ਮੁੰਬਈ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,pa
മുംബൈയിലെ വായുവിന്റെ ഗുണനിലവാരം എങ്ങനെയാണ്?,ml
ನಾಳೆ ದೆಹಲಿಯಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,kn
ഈ വാരാന്ത്യത്തിൽ ചെന്നൈയിലെ കാലാവസ്ഥ എങ്ങനെയായിരിക്കും?,ml
এই সপ্তাহের শেষে চেন্নাইয়ের আবহাওয়া কেমন থাকবে?,bn
आज दिल्ली में तापमान कितना है?,hi
ఈ రోజు ముంబైలో వర్షం పడే అవకాశం ఉందా?,te
आज चेन्नई में हवा में नमी कितनी है?,hi
આજે દિલ્હીમાં તાપમાન કેટલું છે?,gu
ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਚੇਨਈ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,pa
আগামীকাল দিল্লিতে কি বৃষ্টি হবে?,bn
કાલે દિલ્હીમાં વરસાદ પડશે?,gu
இன்று டெல்லியில் காற்று எவ்வளவு வேகமாக உள்ளது?,ta
মুম্বাইয়ে বাতাসের গতি কত?,bn
আগামীকাল দিল্লির আবহাওয়া কেমন থাকবে?,bn
ഇന്ന് ഡൽഹിയിൽ കാറ്റിന്റെ വേഗം എത്രയാണ്?,ml
நாளை டெல்லியில் மழை பெய்யுமா?,ta
আজ দিল্লির তাপমাত্রা কত?,bn
നാളെ ഡൽഹിയിൽ മഴ പെയ്യുമോ?,ml
आज दिल्लीतील तापमान किती आहे?,mr
ದೆಹಲಿಯಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,kn
ఢిల్లీలో వాతావరణం ఎలా ఉంది?,te
இன்று மும்பையில் மழைக்கு வாய்ப்பு உள்ளதா?,ta
ഇന്ന് മുംബൈയിൽ മഴയ്ക്ക് സാധ്യതയുണ്ടോ?,ml
നാളെ ഡൽഹിയിലെ കാലാവസ്ഥ എങ്ങനെയായിരിക്കും?,ml
What will the weather be like in Delhi tomorrow?,en
ਅੱਜ ਦਿੱਲੀ ਵਿੱਚ ਹਵਾ ਕਿੰਨੀ ਤੇਜ਼ ਹੈ?,pa
മുംബൈയിലെ കാറ്റിന്റെ വേഗം എത്രയാണ്?,ml
ఈ రోజు ఢిల్లీలో గాలి ఎంత వేగంగా ఉంది?,te
दिल्ली में मौसम कैसा है?,hi
മുംബൈയിൽ ഇപ്പോൾ എത്ര ചൂടാണ്?,ml
ఈ రోజు ఢిల్లీలో ఉష్ణోగ్రత ఎంత?,te
ಇಂದು ಚೆನ್ನೈನಲ್ಲಿ ತೇವಾಂಶ ಎಷ್ಟು?,kn
ముంబైలో ఇప్పుడు ఎంత వేడిగా ఉంది?,te
उद्या दिल्लीमध्ये पाऊस पडेल का?,mr
उद्या दिल्लीतील हवामान कसे असेल?,mr
ഇന്ന് ഡൽഹിയിലെ താപനില എത്രയാണ്?,ml
